experiment,cath_degree,ligand_rmsd_threshold,success_rate,n
ablation-no-ligand-loss,1,2,0.00569,703
ablation-no-ligand-loss,2,2,0.00234,428
ablation-no-ligand-loss,3,2,0.0,112
ablation-no-ligand-loss,4,2,0.21404,584
ablation-no-ligand-loss,0,4,0.02469,486
ablation-no-ligand-loss,1,4,0.01138,703
ablation-no-ligand-loss,2,4,0.02804,428
ablation-no-ligand-loss,3,4,0.01786,112
ablation-no-ligand-loss,4,4,0.54623,584
ablation-no-quality-loss,0,1,0.00617,486
ablation-no-quality-loss,1,1,0.00711,703
ablation-no-quality-loss,2,1,0.0,428
ablation-no-quality-loss,3,1,0.0,112
ablation-no-quality-loss,4,1,0.16096,584
ablation-no-quality-loss,0,2,0.01852,486
ablation-no-quality-loss,1,2,0.00711,703
ablation-no-quality-loss,2,2,0.00701,428
ablation-no-quality-loss,3,2,0.0,112
ablation-no-quality-loss,4,2,0.42123,584
ablation-no-quality-loss,0,4,0.02058,486
ablation-no-quality-loss,1,4,0.00996,703
ablation-no-quality-loss,2,4,0.00935,428
ablation-no-quality-loss,3,4,0.00893,112
ablation-no-quality-loss,4,4,0.50685,584
ablation-no-recycle,0,1,0.01029,486
ablation-no-recycle,1,1,0.00855,702
ablation-no-recycle,2,1,0.0,429
ablation-no-recycle,3,1,0.0,111
ablation-no-recycle,4,1,0.16239,585
ablation-no-recycle,0,2,0.05761,486
ablation-no-recycle,1,2,0.01852,702
ablation-no-recycle,2,2,0.04429,429
ablation-no-recycle,3,2,0.0,111
ablation-no-recycle,4,2,0.65128,585
ablation-no-recycle,0,4,0.07202,486
ablation-no-recycle,1,4,0.02849,702
ablation-no-recycle,2,4,0.1049,429
ablation-no-recycle,3,4,0.06306,111
ablation-no-recycle,4,4,0.86496,585
baseline,0,1,0.04527,486
baseline,1,1,0.03276,702
baseline,2,1,0.0303,429
baseline,3,1,0.00901,111
baseline,4,1,0.15556,585
baseline,0,2,0.16667,486
baseline,1,2,0.12536,702
baseline,2,2,0.13986,429
baseline,3,2,0.03604,111
baseline,4,2,0.64786,585
baseline,0,4,0.29012,486
baseline,1,4,0.39459,702
baseline,2,4,0.41026,429
baseline,3,4,0.40541,111
baseline,4,4,0.87009,585
baseline_sample_1000_with_src_motif,0,1,0.04386,228
baseline_sample_1000_with_src_motif,1,1,0.03136,287
baseline_sample_1000_with_src_motif,2,1,0.03261,184
baseline_sample_1000_with_src_motif,3,1,0.02381,42
baseline_sample_1000_with_src_motif,4,1,0.14286,259
baseline_sample_1000_with_src_motif,0,2,0.16228,228
baseline_sample_1000_with_src_motif,1,2,0.11498,287
baseline_sample_1000_with_src_motif,2,2,0.1413,184
baseline_sample_1000_with_src_motif,3,2,0.07143,42
baseline_sample_1000_with_src_motif,4,2,0.63707,259
baseline_sample_1000_with_src_motif,0,4,0.28947,228
baseline_sample_1000_with_src_motif,1,4,0.34495,287
baseline_sample_1000_with_src_motif,2,4,0.44565,184
baseline_sample_1000_with_src_motif,3,4,0.42857,42
baseline_sample_1000_with_src_motif,4,4,0.88031,259
baseline_sample_1000_without_src_motif,0,1,0.04386,228
baseline_sample_1000_without_src_motif,1,1,0.03136,287
baseline_sample_1000_without_src_motif,2,1,0.03261,184
baseline_sample_1000_without_src_motif,3,1,0.02381,42
baseline_sample_1000_without_src_motif,4,1,0.14286,259
baseline_sample_1000_without_src_motif,0,2,0.16228,228
baseline_sample_1000_without_src_motif,1,2,0.11498,287
baseline_sample_1000_without_src_motif,2,2,0.1413,184
baseline_sample_1000_without_src_motif,3,2,0.07143,42
baseline_sample_1000_without_src_motif,4,2,0.63707,259
baseline_sample_1000_without_src_motif,0,4,0.28947,228
baseline_sample_1000_without_src_motif,1,4,0.34495,287
baseline_sample_1000_without_src_motif,2,4,0.44565,184
baseline_sample_1000_without_src_motif,3,4,0.42857,42
baseline_sample_1000_without_src_motif,4,4,0.88031,259
